1/L/2,1/L/200,1/L/k,1/L/10k,2/L/sqrt(k),1/(L+sqrt(k))
22.524741583611426,218.01718945184354,118.48396271376541,229.0612655618922,21.376399490850392,13.581295347333812
20.24071220292291,217.61873182060762,117.51118826690472,228.8653601346533,20.012452256482785,11.759011066956525
18.03160051722082,217.3272144824587,116.77287389464911,228.72305468408427,18.633937323620472,9.73129160933024
16.017662176713436,217.10604998648938,116.18630458338751,228.61679765124163,17.318262381043166,8.141306900661153
15.135270477642425,216.84734064274832,115.60732656071757,228.49533504100165,16.67924633312985,7.7296843485293865
14.187960655485247,216.53300130270006,114.91233823265642,228.35216205737285,15.937698872000075,7.413928962643961
13.857808392665746,216.24086865627373,114.30759014870362,228.22072861586534,15.558995075389356,7.678197581805362
13.100256151498709,215.93457699052257,113.6640896450861,228.08689231101678,14.948377578369703,7.400797633606738
11.970520229720357,215.6477432767261,113.0348213007975,227.96328782902953,14.082069964437746,6.776227922454465
11.448162041914896,215.36121169108762,112.44869433799354,227.8418259883676,13.57426860057317,6.6647781353629005
12.159143849338436,214.9461631600498,111.78022252391703,227.67268852389483,13.926061657290079,7.828910713339621
22.97568241158674,214.26083455664568,111.1596356850981,227.40367046599457,19.148520375651014,31.4170050238233
21.20819508480893,213.85650139022843,110.47407510485621,227.24362279307562,18.571585087730433,24.442487904770257
18.917711367245317,213.5280341972507,109.87615380688997,227.11463947749397,17.570372728355082,18.872932727133005
16.722898427649813,213.28661199003017,109.394735392909,227.02015410270747,16.469993325943985,14.842684585841756
14.800108910065738,213.0192017309112,108.88245674013798,226.9185357519952,15.430037581980026,11.970734307875102
13.337615749374441,212.83083544484273,108.50790857510853,226.84661829927836,14.586519901430679,10.033816857452404
12.074504313768443,212.6270752532526,108.11456245972943,226.77049499198486,13.792779309243496,8.671734307262826
10.978346138469396,212.37825997015193,107.65250145616199,226.6794766868852,13.012766501583442,7.749770514624072
10.484928892028387,212.17173023447165,107.30159780260925,226.60483383204308,12.635521446159686,7.396564349880711
9.64026228954417,211.87658036266674,106.78333982536304,226.5011964604137,11.939532436492527,6.848713427294833
11.762318516629188,211.50065020193264,106.38816270501194,226.37263429933265,13.025918905956065,10.410784652187703
11.063116563524957,211.1826577054374,105.88479570305513,226.2648801689201,12.524134981656916,9.63347205728568
11.717424175482545,210.9247252477018,105.57361134429685,226.17813082896424,12.818779090770033,10.931268235413434
11.33889422519156,210.7088403648985,105.27743881633329,226.1056634534425,12.625061876747072,10.142689688513874
10.73368318472293,210.4961038878273,104.9651414264205,226.03531687795575,12.267599713826185,9.274883002151794
